Player,90s_x,goals_allowed,PSxG+/-,launched_pass_completion,attempted_passes,attempted_throws,percentage_launched_passes,average_pass_length,goal_kicks_attempted,launched_goal_kicks,average_goal_kick_length,%_stopped_crosses,actions_outside_pk,90s_y,tackles,tackles_won,defensive_third_tackles,midfield_tackles,attacking_third_tackles,shots_blocked,passes_blocked,interceptions,clearances,errors_leading_to_goal,shots_on_target_against,saves,clean_sheets,penalties_faced,penalties_conceded_x,penalties_saved,shot_creating_actions,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creation_actions,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,yellow_cards,red_cards,fouls,fouls_drawn,offsides,penalties_won,penalties_conceded_y,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,assists,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_box,crosses_into_pentalty_area,progressive_passes,Min,MP,Starts,touches_penalty_area_defending,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_penality_area_attacking,attempted_take_ons,successful_take-ons,tackled_take-ons,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pentalty_area,carry_miscontrols,carry_dispossessions,goals,total_shots,shots_on_target,goals_per_shot,average_shot_distance,freekick_shots,penalty_kicks_converted,penality_kicks_attempted,xG,price,position,dob,nationality,height,foot,join_date,contract_expiration
Issa Diop,,,,,,,,,,,,,,11.7,17.0,13.0,12.0,4.0,1.0,10.0,5.0,16.0,35.0,0.0,,,,,,,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,59.0,20.0,15.0,178.0,204.0,389.0,424.0,74.0,110.0,0.0,0.1,1.0,44.0,2.0,0.0,45.0,1056.0,14,11,87.0,378.0,462.0,18.0,8.0,2.0,2.0,0.0,542.0,3609.0,2313.0,5.0,2.0,0.0,4.0,0.0,1.0,3.0,2.0,0.33,12.3,0.0,0.0,0.0,0.3,€15.00m,Centre-Back,"Jan 9, 1997 (26)",France,"1,94m",right,"Aug 10, 2022","Jun 30, 2027"
Neeskens Kebano,,,,,,,,,,,,,,7.9,12.0,5.0,7.0,5.0,0.0,0.0,12.0,1.0,8.0,0.0,,,,,,,21.0,16.0,0.0,0.0,2.0,3.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,15.0,2.0,0.0,0.0,0.0,43.0,1.0,12.0,83.0,94.0,40.0,53.0,4.0,9.0,3.0,0.8,11.0,2.0,9.0,3.0,21.0,713.0,12,9,10.0,46.0,80.0,166.0,27.0,28.0,9.0,14.0,182.0,1403.0,794.0,37.0,14.0,10.0,15.0,10.0,0.0,9.0,2.0,0.0,15.2,0.0,0.0,0.0,0.5,€4.00m,Left Winger,"Mar 10, 1992 (30)",DR Congo,"1,70m",right,"Aug 26, 2016","Jun 30, 2023"
Carlos Vinícius,,,,,,,,,,,,,,4.8,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,5.0,0.0,,,,,,,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,2.0,0.0,0.0,0.0,9.0,6.0,18.0,28.0,38.0,8.0,17.0,2.0,4.0,0.0,0.3,4.0,1.0,2.0,0.0,4.0,428.0,14,4,7.0,9.0,52.0,80.0,20.0,6.0,0.0,5.0,75.0,303.0,83.0,2.0,4.0,2.0,19.0,8.0,1.0,8.0,4.0,0.13,12.0,0.0,0.0,0.0,1.1,€5.00m,Centre-Forward,"Mar 25, 1995 (27)",Brazil,"1,90m",left,"Sep 1, 2022","Jun 30, 2025"
Daniel James,,,,,,,,,,,,,,4.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0,,,,,,,8.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,1.0,0.0,0.0,25.0,1.0,5.0,53.0,62.0,19.0,33.0,2.0,8.0,0.0,0.2,4.0,2.0,6.0,1.0,12.0,360.0,12,3,7.0,18.0,50.0,94.0,14.0,7.0,1.0,2.0,94.0,816.0,468.0,15.0,7.0,4.0,7.0,6.0,1.0,10.0,2.0,0.1,13.5,0.0,0.0,0.0,1.3,€16.00m,Right Winger,"Nov 10, 1997 (25)",Wales,"1,71m",right,"Sep 1, 2022","May 31, 2023"
Harry Wilson,,,,,,,,,,,,,,3.9,10.0,6.0,5.0,3.0,2.0,0.0,5.0,1.0,4.0,0.0,,,,,,,5.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,4.0,1.0,1.0,0.0,0.0,17.0,3.0,2.0,66.0,75.0,42.0,52.0,7.0,16.0,0.0,0.2,2.0,7.0,3.0,0.0,13.0,347.0,13,3,6.0,32.0,69.0,95.0,12.0,5.0,4.0,1.0,122.0,711.0,233.0,7.0,6.0,4.0,7.0,6.0,0.0,8.0,1.0,0.0,15.1,0.0,0.0,0.0,1.1,€17.00m,Right Winger,"Mar 22, 1997 (25)",Wales,"1,73m",left,"Jul 24, 2021","Jun 30, 2026"
Layvin Kurzawa,,,,,,,,,,,,,,1.5,3.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,12.0,13.0,14.0,19.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,135.0,3,2,8.0,35.0,18.0,11.0,0.0,4.0,2.0,2.0,29.0,100.0,20.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,€5.00m,Left-Back,"Sep 4, 1992 (30)",France,"1,82m",left,"Sep 1, 2022","Jun 30, 2023"
Tom Cairney,,,,,,,,,,,,,,5.2,13.0,4.0,2.0,6.0,5.0,1.0,7.0,2.0,2.0,0.0,,,,,,,26.0,20.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,37.0,4.0,4.0,175.0,191.0,119.0,139.0,35.0,48.0,0.0,1.2,10.0,37.0,11.0,4.0,50.0,471.0,22,1,2.0,71.0,220.0,184.0,18.0,11.0,5.0,4.0,300.0,1649.0,821.0,21.0,18.0,6.0,13.0,10.0,0.0,11.0,0.0,0.0,20.3,0.0,0.0,0.0,0.6,€2.00m,Central Midfield,"Jan 20, 1991 (32)",Scotland,"1,85m",left,"Jul 1, 2015","Jun 30, 2024"
Kevin Mbabu,,,,,,,,,,,,,,1.6,3.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,,,,,,,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,40.0,43.0,24.0,35.0,4.0,9.0,1.0,0.4,2.0,4.0,5.0,3.0,8.0,144.0,6,1,4.0,38.0,40.0,38.0,0.0,6.0,4.0,2.0,57.0,273.0,159.0,4.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,€7.00m,Right-Back,"Apr 19, 1995 (27)",Switzerland,"1,84m",right,"Jul 27, 2022","Jun 30, 2025"
Manor Solomon,,,,,,,,,,,,,,0.7,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,6.0,8.0,4.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,60.0,4,0,2.0,10.0,8.0,12.0,0.0,4.0,1.0,3.0,18.0,93.0,40.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,21.8,0.0,0.0,0.0,0.0,€18.00m,Left Winger,"Jul 24, 1999 (23)",Israel,"1,70m",right,"Jul 25, 2022","Jun 30, 2023"
Shane Duffy,,,,,,,,,,,,,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4,0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,€2.50m,Centre-Back,"Jan 1, 1992 (31)",Ireland,"1,93m",right,"Jan 31, 2023","Jun 30, 2023"
Tyrese Francois,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,€500k,Central Midfield,"Jul 16, 2000 (22)",Australia,"1,73m",left,"Jul 1, 2021","Jun 30, 2024"
